Source,Target,Weight,Type
Av_EV_mortero,Av_EV_quijote,41,undirected
Av_EV_mortero,Belm_EV_sierra,1,undirected
Av_EV_mortero,Cast_EV_barbador,3,undirected
Av_EV_mortero,Cast_EV_comisario,1,undirected
Av_EV_mortero,Cerv_EV_eleccion,2,undirected
Av_EV_mortero,Cerv_EV_rufian,21,undirected
Av_EV_mortero,Dub_EV_romances_R,26,undirected
Av_EV_mortero,Quin_EV_borracho,2,undirected
Av_EV_mortero,Quin_EV_ventero,17,undirected
Av_EV_mortero,Salas_EV_caprichoso,18,undirected
Av_EV_mortero,Salas_EV_comisario,2,undirected
Av_EV_quijote,Av_EV_mortero,41,undirected
Av_EV_quijote,Cast_EV_comisario,3,undirected
Av_EV_quijote,Cerv_EV_eleccion,1,undirected
Av_EV_quijote,Cerv_EV_rufian,5,undirected
Av_EV_quijote,Hurt_EV_miser1,3,undirected
Av_EV_quijote,Quev_EV_marido,3,undirected
Av_EV_quijote,Quev_EV_niño,1,undirected
Av_EV_quijote,Quin_EV_borracho,1,undirected
Av_EV_quijote,Salas_EV_caprichoso,39,undirected
Belm_EV_rana,Cast_EV_barbador,4,undirected
Belm_EV_rana,Cerv_EV_eleccion,24,undirected
Belm_EV_rana,Hurt_EV_miser1,3,undirected
Belm_EV_rana,Quev_EV_marido,18,undirected
Belm_EV_rana,Quin_EV_sacristanes,1,undirected
Belm_EV_rana,Quin_EV_ventero,10,undirected
Belm_EV_sierra,Av_EV_mortero,1,undirected
Belm_EV_sierra,Cerv_EV_eleccion,21,undirected
Belm_EV_sierra,Quin_EV_sacristanes,4,undirected
Belm_EV_sierra,Quin_EV_ventero,12,undirected
Belm_EV_sierra,Salas_EV_caprichoso,11,undirected
Belm_EV_sierra,Vel_EV_burla,12,undirected
Cast_EV_barbador,Av_EV_mortero,3,undirected
Cast_EV_barbador,Belm_EV_rana,4,undirected
Cast_EV_barbador,Cast_EV_comisario,22,undirected
Cast_EV_barbador,Cerv_EV_rufian,33,undirected
Cast_EV_barbador,Hurt_EV_miser1,11,undirected
Cast_EV_barbador,Quin_EV_sacristanes,1,undirected
Cast_EV_barbador,Salas_EV_caprichoso,3,undirected
Cast_EV_barbador,Vel_EV_burla,15,undirected
Cast_EV_comisario,Av_EV_mortero,1,undirected
Cast_EV_comisario,Av_EV_quijote,3,undirected
Cast_EV_comisario,Cast_EV_barbador,22,undirected
Cast_EV_comisario,Hurt_EV_miser1,28,undirected
Cast_EV_comisario,Hurt_EV_miser2,12,undirected
Cast_EV_comisario,Quev_EV_niño,8,undirected
Cast_EV_comisario,Salas_EV_caprichoso,10,undirected
Cast_EV_comisario,Salas_EV_comisario,7,undirected
Cerv_EV_eleccion,Av_EV_mortero,2,undirected
Cerv_EV_eleccion,Av_EV_quijote,1,undirected
Cerv_EV_eleccion,Belm_EV_rana,24,undirected
Cerv_EV_eleccion,Belm_EV_sierra,21,undirected
Cerv_EV_eleccion,Cerv_EV_rufian,59,undirected
Cerv_EV_eleccion,Dub_EV_romances_R,6,undirected
Cerv_EV_eleccion,Hurt_EV_getafe,25,undirected
Cerv_EV_eleccion,Hurt_EV_miser1,12,undirected
Cerv_EV_eleccion,Hurt_EV_miser2,18,undirected
Cerv_EV_eleccion,Quev_EV_marido,22,undirected
Cerv_EV_eleccion,Quin_EV_borracho,12,undirected
Cerv_EV_eleccion,Salas_EV_comisario,3,undirected
Cerv_EV_eleccion,Vel_EV_antonia,7,undirected
Cerv_EV_eleccion,Vel_EV_atarantados,3,undirected
Cerv_EV_eleccion,Vel_EV_burla,30,undirected
Cerv_EV_rufian,Av_EV_mortero,21,undirected
Cerv_EV_rufian,Av_EV_quijote,5,undirected
Cerv_EV_rufian,Cast_EV_barbador,33,undirected
Cerv_EV_rufian,Cerv_EV_eleccion,59,undirected
Cerv_EV_rufian,Hurt_EV_miser1,20,undirected
Cerv_EV_rufian,Quev_EV_marido,7,undirected
Cerv_EV_rufian,Quev_EV_niño,32,undirected
Cerv_EV_rufian,Quin_EV_barbero,1,undirected
Cerv_EV_rufian,Quin_EV_borracho,2,undirected
Cerv_EV_rufian,Quin_EV_sacristanes,2,undirected
Cerv_EV_rufian,Salas_EV_caprichoso,3,undirected
Cerv_EV_rufian,Salas_EV_comisario,2,undirected
Cerv_EV_rufian,Vel_EV_atarantados,22,undirected
Cerv_EV_rufian,Vel_EV_burla,11,undirected
Dub_EV_romances_R,Av_EV_mortero,26,undirected
Dub_EV_romances_R,Cerv_EV_eleccion,6,undirected
Dub_EV_romances_R,Quin_EV_barbero,3,undirected
Dub_EV_romances_R,Quin_EV_borracho,10,undirected
Dub_EV_romances_R,Quin_EV_sacristanes,6,undirected
Dub_EV_romances_R,Vel_EV_atarantados,13,undirected
Hurt_EV_getafe,Cerv_EV_eleccion,25,undirected
Hurt_EV_getafe,Hurt_EV_miser1,43,undirected
Hurt_EV_getafe,Hurt_EV_miser2,24,undirected
Hurt_EV_miser1,Av_EV_quijote,3,undirected
Hurt_EV_miser1,Belm_EV_rana,3,undirected
Hurt_EV_miser1,Cast_EV_barbador,11,undirected
Hurt_EV_miser1,Cast_EV_comisario,28,undirected
Hurt_EV_miser1,Cerv_EV_eleccion,12,undirected
Hurt_EV_miser1,Cerv_EV_rufian,20,undirected
Hurt_EV_miser1,Hurt_EV_getafe,43,undirected
Hurt_EV_miser1,Hurt_EV_miser2,55,undirected
Hurt_EV_miser1,Quev_EV_marido,11,undirected
Hurt_EV_miser1,Salas_EV_caprichoso,7,undirected
Hurt_EV_miser1,Salas_EV_comisario,32,undirected
Hurt_EV_miser2,Cast_EV_comisario,12,undirected
Hurt_EV_miser2,Cerv_EV_eleccion,18,undirected
Hurt_EV_miser2,Hurt_EV_getafe,24,undirected
Hurt_EV_miser2,Hurt_EV_miser1,55,undirected
Quev_EV_marido,Av_EV_quijote,3,undirected
Quev_EV_marido,Belm_EV_rana,18,undirected
Quev_EV_marido,Cerv_EV_eleccion,22,undirected
Quev_EV_marido,Cerv_EV_rufian,7,undirected
Quev_EV_marido,Hurt_EV_miser1,11,undirected
Quev_EV_marido,Quev_EV_niño,4,undirected
Quev_EV_marido,Quin_EV_barbero,1,undirected
Quev_EV_marido,Quin_EV_sacristanes,13,undirected
Quev_EV_marido,Vel_EV_antonia,10,undirected
Quev_EV_niño,Av_EV_quijote,1,undirected
Quev_EV_niño,Cast_EV_comisario,8,undirected
Quev_EV_niño,Cerv_EV_rufian,32,undirected
Quev_EV_niño,Quev_EV_marido,4,undirected
Quev_EV_niño,Quin_EV_barbero,11,undirected
Quev_EV_niño,Quin_EV_borracho,6,undirected
Quev_EV_niño,Quin_EV_sacristanes,11,undirected
Quev_EV_niño,Vel_EV_antonia,17,undirected
Quin_EV_barbero,Cerv_EV_rufian,1,undirected
Quin_EV_barbero,Dub_EV_romances_R,3,undirected
Quin_EV_barbero,Quev_EV_marido,1,undirected
Quin_EV_barbero,Quev_EV_niño,11,undirected
Quin_EV_barbero,Quin_EV_borracho,35,undirected
Quin_EV_barbero,Quin_EV_sacristanes,42,undirected
Quin_EV_barbero,Quin_EV_ventero,7,undirected
Quin_EV_barbero,Vel_EV_atarantados,2,undirected
Quin_EV_borracho,Av_EV_mortero,2,undirected
Quin_EV_borracho,Av_EV_quijote,1,undirected
Quin_EV_borracho,Cerv_EV_eleccion,12,undirected
Quin_EV_borracho,Cerv_EV_rufian,2,undirected
Quin_EV_borracho,Dub_EV_romances_R,10,undirected
Quin_EV_borracho,Quev_EV_niño,6,undirected
Quin_EV_borracho,Quin_EV_barbero,35,undirected
Quin_EV_borracho,Quin_EV_sacristanes,60,undirected
Quin_EV_borracho,Vel_EV_antonia,4,undirected
Quin_EV_borracho,Vel_EV_atarantados,4,undirected
Quin_EV_borracho,Vel_EV_burla,3,undirected
Quin_EV_sacristanes,Belm_EV_rana,1,undirected
Quin_EV_sacristanes,Belm_EV_sierra,4,undirected
Quin_EV_sacristanes,Cast_EV_barbador,1,undirected
Quin_EV_sacristanes,Cerv_EV_rufian,2,undirected
Quin_EV_sacristanes,Dub_EV_romances_R,6,undirected
Quin_EV_sacristanes,Quev_EV_marido,13,undirected
Quin_EV_sacristanes,Quev_EV_niño,11,undirected
Quin_EV_sacristanes,Quin_EV_barbero,42,undirected
Quin_EV_sacristanes,Quin_EV_borracho,60,undirected
Quin_EV_sacristanes,Quin_EV_ventero,26,undirected
Quin_EV_sacristanes,Vel_EV_atarantados,47,undirected
Quin_EV_ventero,Av_EV_mortero,17,undirected
Quin_EV_ventero,Belm_EV_rana,10,undirected
Quin_EV_ventero,Belm_EV_sierra,12,undirected
Quin_EV_ventero,Quin_EV_barbero,7,undirected
Quin_EV_ventero,Quin_EV_sacristanes,26,undirected
Quin_EV_ventero,Salas_EV_caprichoso,2,undirected
Quin_EV_ventero,Vel_EV_antonia,15,undirected
Quin_EV_ventero,Vel_EV_atarantados,28,undirected
Salas_EV_caprichoso,Av_EV_mortero,18,undirected
Salas_EV_caprichoso,Av_EV_quijote,39,undirected
Salas_EV_caprichoso,Belm_EV_sierra,11,undirected
Salas_EV_caprichoso,Cast_EV_barbador,3,undirected
Salas_EV_caprichoso,Cast_EV_comisario,10,undirected
Salas_EV_caprichoso,Cerv_EV_rufian,3,undirected
Salas_EV_caprichoso,Hurt_EV_miser1,7,undirected
Salas_EV_caprichoso,Quin_EV_ventero,2,undirected
Salas_EV_caprichoso,Salas_EV_comisario,59,undirected
Salas_EV_caprichoso,Vel_EV_burla,3,undirected
Salas_EV_comisario,Av_EV_mortero,2,undirected
Salas_EV_comisario,Cast_EV_comisario,7,undirected
Salas_EV_comisario,Cerv_EV_eleccion,3,undirected
Salas_EV_comisario,Cerv_EV_rufian,2,undirected
Salas_EV_comisario,Hurt_EV_miser1,32,undirected
Salas_EV_comisario,Salas_EV_caprichoso,59,undirected
Vel_EV_antonia,Cerv_EV_eleccion,7,undirected
Vel_EV_antonia,Quev_EV_marido,10,undirected
Vel_EV_antonia,Quev_EV_niño,17,undirected
Vel_EV_antonia,Quin_EV_borracho,4,undirected
Vel_EV_antonia,Quin_EV_ventero,15,undirected
Vel_EV_antonia,Vel_EV_atarantados,7,undirected
Vel_EV_atarantados,Cerv_EV_eleccion,3,undirected
Vel_EV_atarantados,Cerv_EV_rufian,22,undirected
Vel_EV_atarantados,Dub_EV_romances_R,13,undirected
Vel_EV_atarantados,Quin_EV_barbero,2,undirected
Vel_EV_atarantados,Quin_EV_borracho,4,undirected
Vel_EV_atarantados,Quin_EV_sacristanes,47,undirected
Vel_EV_atarantados,Quin_EV_ventero,28,undirected
Vel_EV_atarantados,Vel_EV_antonia,7,undirected
Vel_EV_burla,Belm_EV_sierra,12,undirected
Vel_EV_burla,Cast_EV_barbador,15,undirected
Vel_EV_burla,Cerv_EV_eleccion,30,undirected
Vel_EV_burla,Cerv_EV_rufian,11,undirected
Vel_EV_burla,Quin_EV_borracho,3,undirected
Vel_EV_burla,Salas_EV_caprichoso,3,undirected
